ParticipantId,AnnualHouseholdIncome,BirthYear2020,CoronavirusConcern2,CoronavirusEmployment,CoronavirusIntent_Mask,CoronavirusIntent_SixFeet,CoronavirusIntent_StayHome,CoronavirusIntent_WashHands,CoronavirusLocalCommunity,CoronavirusSupportSystem,CoronavirusSymptomSelect,Education_Alt2,Ethnicity,Gender,HasCoronavirusBelief,PoliticalBeliefsNoOp,Religion_Alt1,Religiosity_Alt2,ZipCode
74,30000,2001,0,['was-full'],0,39,0,31,0,"['fam-friend', 'religious']",['none'],highschool,white,female,0.1,10,evangelical-protestant,10,971
75,40000,1989,8.3,['was-full'],89,87,88,81,0,"['fam-friend', 'religious', 'no-one']",['none'],highschool,black,female,0.8,8.1,something-else,10,750
76,5999,2001,6.8,['now-jobless'],98,100,95,71,0,['no-one'],['none'],postgrad,black,male,7.6,7.7,catholic,7.1,334
77,13000,1992,8.2,['was-disabled'],100,100,100,71,0,['fam-friend'],['none'],college,white,male,1.3,8.3,catholic,10,112
78,40000,1989,5.1,"['was-full', 'now-jobless']",93,69,74,55,0,"['fam-friend', 'employer', 'state-gov', 'fedgov']",['none'],college,white,male,4.8,2.6,nothing-in-particular,1.1,800
79,55000,1971,4.4,['was-full'],12,47,46,48,0,"['local-gov', 'fedgov', 'fam-friend']",['none'],college,asian,female,0.2,4.6,buddhist,6.2,347
80,15000,1980,5,['was-full'],51,100,100,100,0,['fam-friend'],['none'],school,white,male,0.5,5,nothing-in-particular,5.1,450
81,39000,1998,8,['was-full'],100,100,100,100,10,"['fam-friend', 'religious']",['none'],highschool,other-mixed,female,0,3.1,something-else,7.8,871
82,75000,1970,7,['was-jobless'],89,83,84,89,0,"['fam-friend', 'employer', 'religious']",['none'],highschool,white,female,2.8,4.6,evangelical-protestant,8,394
83,100000,1997,2.2,['was-part'],0,31,15,46,0,['fam-friend'],['none'],college,white,male,0,10,something-else,8.9,357
84,12000,1987,1.8,['now-jobless'],3,100,100,97,15,"['employer', 'local-gov']",['none'],some-college,white,female,0,4.8,catholic,4.8,542
85,21000,1974,3.8,"['was-full', 'now-full']",7,51,49,53,0,['fam-friend'],['none'],college,white,female,0.7,6.2,evangelical-protestant,5.4,368
86,120000,1966,5.7,"['was-full', 'now-full']",87,73,75,71,0,['fam-friend'],['none'],college,white,male,0,6.9,other-protestant,6.7,774
87,96000,2001,7.9,['was-jobless'],0,43,64,63,0,['no-one'],['none'],some-college,black,male,2.4,6,something-else,7.3,207
88,50000,1976,10,['was-full'],100,100,100,100,5,"['fam-friend', 'local-community']",['sore-throat'],some-college,white,female,4.9,8.4,nothing-in-particular,8.2,238
89,150000,1988,7.4,['was-full'],100,88,100,100,0,['fam-friend'],['none'],college,white,female,0,5.1,catholic,10,217
90,34000,1961,10,['was-disabled'],83,84,80,94,0,['no-one'],['none'],highschool,black,male,3.7,6,something-else,8.5,374
91,30000,1981,4.3,['now-full'],65,38,22,42,0,['no-one'],['none'],some-college,white,female,0,4.8,nothing-in-particular,5.7,493
92,30000,1999,10,['was-full'],100,100,100,79,0,"['state-gov', 'fam-friend']",['none'],highschool,black,male,2.4,5.2,evangelical-protestant,10,283
93,65000,1987,5.3,"['was-full', 'now-full']",78,36,31,84,0,"['fam-friend', 'employer', 'religious']",['none'],college,white,female,2.5,7.3,catholic,7.5,442
94,20000,2000,7.5,['was-jobless'],65,66,67,34,0,['religious'],['muscle-ache'],school,black,male,6.3,7,mormon,8.4,606
95,90000,1995,6.6,['now-part'],98,100,100,74,2,"['fam-friend', 'religious']","['sore-throat', 'fever', 'headache']",college,white,male,2.9,10,something-else,10,333
96,65000,1973,5.3,['now-full'],23,100,80,72,2,['employer'],['none'],highschool,white,male,0,7,nothing-in-particular,1,553
97,7000,1994,4.8,['now-part'],98,94,96,98,0,"['fedgov', 'fam-friend']",['headache'],college,black,female,0,5.2,muslim,8.8,432
98,80000,1996,5.1,"['was-full', 'now-full']",79,65,72,66,0,"['employer', 'fam-friend']",['none'],college,white,female,2.5,2.5,nothing-in-particular,0.8,201
99,17000,1998,8.7,"['was-full', 'now-full']",100,73,32,93,0,"['fam-friend', 'religious']","['sore-throat', 'headache']",some-college,black,female,1,4.4,something-else,8,335
100,46000,1956,8.1,"['was-full', 'now-full']",100,100,100,71,0,['no-one'],"['nasal', 'sore-throat', 'headache']",college,white,female,0.8,0.9,buddhist,3.4,36
101,286347,1981,6.5,['was-part'],0,30,100,3,0,['state-gov'],['none'],postgrad,white,male,3.2,6.9,hindu,6.3,957
102,150000,1962,7.4,"['was-full', 'now-full']",100,100,100,100,0,"['fam-friend', 'religious']",['none'],postgrad,black,female,0,2.5,other-protestant,10,917
103,12450,1960,4.8,['was-part'],48,94,90,49,0,['fam-friend'],['none'],some-college,white,female,0.6,5.1,something-else,5.1,432
104,30000,1997,6.2,['now-jobless'],74,70,98,61,0,"['fam-friend', 'employer']",['none'],college,asian,female,3.8,5.2,nothing-in-particular,5.9,432
105,30000,1981,3.7,['was-disabled'],0,38,0,40,0,['no-one'],['none'],school,white,male,0,2.5,something-else,5.1,456
106,12500,1975,6.7,['was-disabled'],55,90,91,71,0,"['fam-friend', 'state-gov', 'local-community']",['none'],highschool,white,female,0.5,3.9,nothing-in-particular,4.9,283
107,60000,1985,7.8,['now-part'],79,74,77,77,0,['employer'],['muscle-ache'],highschool,hispanic-latino,male,7.8,8,catholic,6.7,73
108,89000,1969,9.4,['now-full'],100,100,100,99,0,['no-one'],['none'],postgrad,white,male,0.1,4.9,evangelical-protestant,9.7,723
109,20000,1995,5.2,"['was-jobless', 'now-jobless']",49,98,98,100,0,"['fam-friend', 'religious', 'local-gov', 'fedgov', 'other']",['none'],some-college,white,female,0.6,9.8,something-else,10,368
110,50000,1988,0,"['was-full', 'now-jobless']",0,100,100,100,0,['fam-friend'],['none'],some-college,white,female,0,4.9,nothing-in-particular,6.2,852
111,80000,1987,9.2,"['was-full', 'now-part']",92,91,91,92,0,['no-one'],['none'],college,white,female,0.6,0.5,agnostic,0.8,191
112,30000,1970,10,['now-jobless'],95,99,96,100,0,['fam-friend'],['none'],highschool,hispanic-latino,female,0.5,4.7,catholic,7.8,780
113,70000,1990,7.9,['was-full'],100,100,100,100,3,"['fam-friend', 'state-gov']","['fatigue', 'nausea-vomit']",college,black,female,1.6,7.2,other-protestant,8.2,447
114,-8000,1996,0.3,['now-jobless'],35,34,68,63,0,['fam-friend'],"['dry-cough', 'nasal', 'sore-throat']",some-college,white,female,0,5.7,atheist,0,292
115,-47858,2001,2.9,['now-full'],38,69,73,77,0,['no-one'],['none'],highschool,black,male,0.3,5.4,something-else,3.8,386
116,48000,1987,6.1,['was-part'],6,100,100,93,0,"['fam-friend', 'state-gov']",['none'],highschool,black,female,0.2,5.7,nothing-in-particular,1.3,534
117,150000,1986,4.8,"['now-full', 'was-full']",100,100,98,52,0,"['fam-friend', 'employer']",['none'],some-college,hispanic-latino,male,0,5.1,catholic,4.7,945
118,85000,1979,8.3,"['was-part', 'now-part', 'was-retired']",100,69,68,72,0,['fam-friend'],"['dry-cough', 'diarrhea', 'fatigue', 'muscle-ache']",highschool,black,male,7.2,6.7,mormon,8.2,322
119,50000,1999,10,['now-disabled'],100,98,96,100,0,['fam-friend'],['none'],some-college,asian,male,0,0.5,muslim,6.1,125
120,10000,1993,1.7,['now-jobless'],68,68,70,69,0,['local-community'],['none'],highschool,white,female,0,5.1,catholic,0.4,160
121,150000,1993,10,['was-full'],100,100,100,100,0,['local-gov'],['lost-smell-taste'],postgrad,hispanic-latino,female,10,10,nothing-in-particular,10,140
122,34000,1974,0.7,"['now-disabled', 'was-full']",52,59,43,43,0,['other'],['none'],school,white,female,0,6.3,catholic,7.8,630
123,95000,1996,6.8,['was-full'],28,77,61,97,0,"['fam-friend', 'religious']",['none'],college,white,female,0,4.1,mormon,8,837
124,350000,1991,3.6,['now-full'],43,34,62,61,3,['employer'],['none'],postgrad,black,male,3.2,6.1,nothing-in-particular,4.2,775
125,55000,1997,9.1,['was-part'],59,94,61,63,1,['fam-friend'],['none'],some-college,hispanic-latino,female,0,3.7,catholic,6,605
126,55000,1964,9,['was-part'],98,95,98,98,0,"['fam-friend', 'local-gov', 'state-gov']",['none'],postgrad,hispanic-latino,female,4.5,3.8,catholic,9.7,300
127,30000,1989,6.4,['was-jobless'],82,97,100,74,0,['fam-friend'],['muscle-ache'],college,white,female,0,2.8,nothing-in-particular,4.5,460
128,50000,1998,10,"['now-jobless', 'was-full']",100,100,100,98,1,"['fam-friend', 'local-community']",['none'],college,other-mixed,female,2.8,2.9,nothing-in-particular,2.7,313
129,44000,1978,6.2,['was-part'],100,100,69,100,0,"['local-community', 'fam-friend']",['none'],highschool,white,male,0,2.9,catholic,7.5,945
130,13000,1974,10,['was-full'],46,96,99,100,0,['no-one'],['none'],highschool,white,female,0.2,4.3,something-else,10,350
131,50000,2001,7.5,['was-full'],87,78,89,83,5,['state-gov'],['none'],some-college,hispanic-latino,female,0,3.9,nothing-in-particular,6.6,347
132,200000,1996,10,['was-full'],100,100,100,100,6,['fam-friend'],['none'],college,white,female,0,4.7,catholic,5.3,76
133,19000,1999,10,['now-jobless'],100,100,100,100,0,['other'],['none'],some-college,white,female,0,4.4,something-else,7.2,113
134,40000,2001,9.4,['now-full'],93,100,79,100,0,['fam-friend'],"['dry-cough', 'diarrhea', 'muscle-ache', 'fatigue', 'headache']",highschool,white,female,0,8.1,atheist,0,430
135,150000,1993,10,['now-full'],99,97,100,99,0,['no-one'],['none'],some-college,white,male,0,4.7,nothing-in-particular,2.6,331
136,50000,1983,9.4,['now-part'],96,99,95,91,0,['fam-friend'],['none'],college,white,female,0,8.6,catholic,6.1,20
137,292783,1998,9.9,['was-jobless'],100,100,100,100,0,['employer'],['short-breath'],highschool,asian,female,0.7,6.5,other-protestant,8.9,72
138,45000,1990,10,['now-jobless'],100,100,100,100,0,"['fam-friend', 'religious']",['none'],college,asian,female,0,5.5,buddhist,10,559
139,60000,1989,6.7,['was-full'],100,100,100,100,0,['fam-friend'],['none'],college,white,male,2.7,7,mormon,10,939
140,65000,1976,9.4,['was-full'],90,89,89,85,0,['fam-friend'],"['dry-cough', 'muscle-ache', 'fatigue', 'sore-throat']",college,white,female,7.7,7.7,something-else,8.9,935
141,68000,1963,9.3,['now-full'],95,94,96,100,0,"['fam-friend', 'state-gov']","['dry-cough', 'fatigue', 'sore-throat']",college,white,female,4.3,0,catholic,9.8,27
142,50000,1990,10,"['was-part', 'now-jobless']",100,100,100,100,0,['fedgov'],['none'],college,black,female,0,5.4,evangelical-protestant,10,112
143,65000,1982,8.3,"['was-full', 'now-full']",87,88,90,51,0,"['fam-friend', 'employer']",['none'],college,white,female,5.1,4.8,catholic,6,80
144,16000,1965,5.2,['was-full'],93,91,94,93,2,"['fedgov', 'fam-friend']",['none'],college,white,female,0.8,5.5,something-else,9.8,452
145,55000,1989,5.7,['was-full'],100,100,100,100,0,['fam-friend'],['none'],postgrad,white,female,0,2.2,other-protestant,2.6,284
146,73000,1996,7.2,"['was-jobless', 'now-jobless']",75,100,94,100,0,['fam-friend'],['none'],college,asian,female,2.6,2.7,nothing-in-particular,2.8,950
147,35000,1983,5.5,['was-part'],31,32,55,74,0,"['local-community', 'fam-friend', 'religious', 'state-gov']","['fatigue', 'sore-throat']",some-college,white,female,2.6,2.9,nothing-in-particular,2,983
148,22000,1986,0.8,['was-full'],0,0,0,0,300,['no-one'],"['dry-cough', 'short-breath', 'diarrhea', 'nasal', 'sore-throat', 'headache', 'nausea-vomit', 'muscle-ache', 'lost-smell-taste']",some-college,white,male,0,5.3,evangelical-protestant,9.3,444
149,70000,1996,10,['now-jobless'],76,79,70,81,0,"['fedgov', 'local-gov', 'state-gov', 'fam-friend']",['none'],highschool,asian,female,0.2,4.8,catholic,6.7,968
150,40000,2000,6.8,['was-part'],65,100,33,97,0,['fam-friend'],['none'],highschool,white,female,0,7.8,nothing-in-particular,1.5,666
151,28000,1974,7.4,['was-full'],98,81,100,74,1,['fam-friend'],['none'],some-college,black,female,0.5,3,something-else,10,323
152,80000,1969,10,['was-full'],100,100,100,100,0,['fam-friend'],['short-breath'],some-college,white,female,0.3,5.8,catholic,2.3,103
153,65000,1987,10,['was-full'],100,94,97,100,5,"['state-gov', 'fedgov', 'local-community', 'religious']","['fatigue', 'muscle-ache', 'headache']",college,asian,female,0.4,4.9,nothing-in-particular,9.3,494
154,18000,1971,7.5,['now-retired'],100,97,100,94,2,['fam-friend'],['none'],college,white,female,0.2,4.6,catholic,4.3,894
155,100000,2000,6.3,['now-jobless'],25,72,75,66,0,['fam-friend'],['none'],some-college,white,male,2,2.9,catholic,4.4,543
156,250000,1993,10,['now-disabled'],69,60,59,62,2,['no-one'],['none'],highschool,hispanic-latino,male,0.6,5.3,nothing-in-particular,4.5,21
157,20000,1998,6.8,"['was-part', 'now-part']",61,57,43,58,0,"['employer', 'local-gov']",['none'],college,white,female,1.6,6.8,nothing-in-particular,5.4,853
158,55000,1999,7.1,"['was-part', 'was-retired']",68,26,31,73,0,"['fam-friend', 'local-community']",['dry-cough'],college,black,female,0,5.4,nothing-in-particular,4.3,386
159,50000,2002,9.1,['now-disabled'],47,51,52,53,0,['private-org'],['none'],postgrad,hispanic-latino,male,0.6,4.8,nothing-in-particular,5.7,947
160,72000,1966,8.3,['was-full'],100,100,100,100,0,['fam-friend'],['none'],highschool,white,male,0,10,nothing-in-particular,5.1,320
161,19000,2001,10,"['was-jobless', 'was-retired']",91,98,97,100,2,['fam-friend'],['fever'],highschool,hispanic-latino,female,0,0,catholic,0,294
162,74000,1994,9,['now-full'],72,100,82,72,90,['fedgov'],['headache'],college,asian,female,0,7.5,nothing-in-particular,5,100
163,90000,1991,10,['was-full'],100,100,100,100,10,['fam-friend'],['none'],postgrad,white,female,2.2,1.3,catholic,6.6,190
164,30000,1994,8.2,['was-full'],100,93,96,96,0,['fam-friend'],['none'],some-college,black,female,0.5,5.1,something-else,6.7,455
165,74000,1977,3.7,['was-full'],100,100,78,100,0,['fam-friend'],['none'],college,white,male,0.2,4.8,catholic,9.8,83
166,20000,2002,6,['was-full'],100,100,68,27,3,"['fam-friend', 'religious', 'local-community']",['none'],highschool,other-mixed,male,5.6,2.2,nothing-in-particular,4.7,681
167,43000,1988,8.9,"['now-full', 'was-full', 'was-part', 'now-retired', 'was-retired']",77,100,100,100,600000,['fam-friend'],"['dry-cough', 'diarrhea', 'nasal', 'sore-throat', 'headache']",college,white,female,1.3,7.5,something-else,8.9,112
168,24000,1995,9,['was-jobless'],65,94,80,60,0,['fam-friend'],['none'],highschool,white,female,4.3,5.7,agnostic,6.1,301
169,30000,1992,6.5,['now-jobless'],83,78,83,80,0,['no-one'],['none'],college,other-mixed,female,10,10,other-protestant,7.3,900
170,11500,1966,8.7,['was-disabled'],100,100,100,100,0,['no-one'],"['fatigue', 'muscle-ache']",some-college,white,female,0.5,0.4,nothing-in-particular,7.7,654
171,200000,1967,4.7,"['was-full', 'now-full']",100,76,69,74,0,['fam-friend'],['nasal'],college,white,male,5.2,5.2,agnostic,0.6,750
172,90000,1978,8.2,['was-full'],88,75,62,61,0,"['fam-friend', 'local-community']",['none'],some-college,white,male,1.4,3.1,nothing-in-particular,0.5,147
173,100000,1974,7.9,['was-full'],93,92,91,90,0,"['fam-friend', 'fedgov']",['none'],college,white,female,1.2,4.1,nothing-in-particular,4.1,161
174,14538,2001,1.9,['was-full'],62,78,100,63,6,['fam-friend'],['none'],college,white,male,0.2,5.2,nothing-in-particular,1.3,740
175,125000,1979,7,"['was-full', 'now-part']",79,90,93,81,1,"['fam-friend', 'religious', 'state-gov']","['fatigue', 'sore-throat', 'headache', 'nasal']",postgrad,white,female,5.2,5.4,other-protestant,9.3,494
176,15000,1970,9,['now-disabled'],90,90,91,84,0,['fam-friend'],['none'],school,hispanic-latino,female,1,4.9,catholic,9.6,363
177,17000,1984,5.2,"['was-jobless', 'now-full']",11,89,89,90,0,['fam-friend'],['none'],some-college,black,female,1,4.9,something-else,7.2,317
